oglas_id,naselje,kvadratura_m2,sprat,broj_soba,godina_izgradnje,stanje,balkon,parking,cijena_km,datum_oglasa
72452589,Dragodol,29.0,4.0,1.0,,Namješten,da,ne,119500.0,15.08.2026
74346041,Irac,30.0,4.0,1.0,,Useljivo,da,da,144200.0,02.08.2026
73606572,Bukinje,77.0,6.0,3.0,1984.0,Namješten,da,ne,253800.0,14.06.2026
78507134, Irac ,90.0,1.0,4.0,1983.0,Useljivo,da,da,340300.0,13.06.2026
70023087,Kreka,75.0,7.0,3.0,2013.0,Useljivo,ne,ne,339500.0,04.05.2026
70465611,Bukinje,56.0,Prizemlje,2.0,,Useljivo,da,ne,147600.0,31.03.2026
77531911,Slavinovići,63.0,3.0,2.5,1994.0,Nov,da,da,395700.0,10.06.2026
77806102,Brčanska Malta,54.0,3.0,2.0,2010 do 2019,Namješten,da,ne,259700.0,27.05.2026
78721042,Stupine,58.0,,2.0,,Potrebna renovacija,da,da,238100.0,25.04.2026
78576505,Kreka,56.0,10.0,2.0,,Nenamješten,da,da,209600.0,15.05.2026
75106570,Centar,76.0,0.0,4.0,1995.0,Potrebna renovacija,ne,ne,321500.0,28.03.2026
78789289,brčanska malta,85.0,7.0,3.0,2015.0,Useljivo,da,da,348200.0,15.09.2026
76818958,Dragodol,62.0,2.0,3.0,,Renoviran,da,da,337300.0,12.06.2026
70986777,Kreka,34.19,7,1.5,2021,Useljivo,da,ne,170950.0,06.09.2026
74457326,Irac,87.0,,3.0,2016.0,Potrebna renovacija,ne,da,"243,400",10.04.2026
78019067,Dragodol,48.0,7.0,2.0,,Potrebna renovacija,da,ne,159600.0,29.07.2026
70743154,Brčanska Malta,44.0,9.0,1.0,,Potrebna renovacija,da,da,130900.0,13.06.2026
77297806,Kreka,52m2,5.0,4.0,1990.0,Renoviran,da,ne,223300.0,13.05.2026
77744177,Zlokovac,53.0,6.0,1.5,2015.0,Renoviran,da,ne,"293,200",08.07.2026
75315046,Brčanska Malta,54m2,5.0,2.0,,Namješten,da,ne,"295,700",01.04.2026
77439167,Mejdan,81.0,1.0,4.0,1987.0,Useljivo,da,ne,493700.0,18.08.2026
70320435,Centar,78.0,5.0,3.0,1973.0,Nov,da,ne,506900.0,02.07.2026
72979415,Solina,51.0,10.0,2.0,,Potrebna renovacija,ne,ne,153400.0,05.05.2026
74792225,Brčanska Malta,65.0,6.0,2.0,1994.0,Renoviran,ne,ne,244.300 KM,15.04.2026
79775058, Gornja Tuzla ,71.0,4.0,3.0,2005.0,Nov,da,ne,238900.0,23.06.2026
79500000,,,,,,,,,,01.09.2026
74083553,Brčanska Malta,66m2,3.0,2.0,1990.0,Renoviran,da,ne,320300.0,05.08.2026
72005624,Solina,57.0,Prizemlje,2.0,,Dobro stanje,ne,da,276.100 KM,25.08.2026
78038826,Brčanska Malta,60.0,9.0,2.0,2013.0,Nov,da,ne,335400.0,29.06.2026
74713129,Centar,34.0,10.0,1.0,1983.0,Nenamješten,da,ne,213100.0,01.04.2026
74215625,dragodol,43.0,,2.0,1980 do 1989,Useljivo,ne,ne,175 100,25.03.2026
70495349,Slavinovići,50.0,1.0,2.0,1985.0,Potrebna renovacija,ne,ne,182500.0,15.08.2026
70621391,SJENJAK,52.0,Prizemlje,2.0,1996.0,Useljivo,da,ne,294000.0,22.05.2026
73983794,Centar,60.0,2.0,3.0,1980-1989,Potrebna renovacija,da,da,254400.0,22.08.2026
76791807,Stupine,78.0,Prizemlje,3.0,,Potrebna renovacija,da,da,250000.0,29.03.2026
77480519,Stupine,55.0,6.0,2.0,2023.0,Renoviran,da,ne,263400.0,16.04.2026
77867866,Bukinje,36.0,5.0,1.0,1996.0,Useljivo,da,da,91800.0,06.09.2026
73663721,Slavinovići,41.0,5.0,2.0,,Useljivo,da,ne,135700.0,19.06.2026
72653855,Stupine,50m2,4.0,2.0,,Nov,da,da,258600.0,09.04.2026
73269194,Sjenjak,55.0,5.0,3.0,,Potrebna renovacija,ne,da,150900.0,23.06.2026
77906487, Sjenjak ,121.0,2.0,5.0,1968.0,Useljivo,da,da,"713,500",26.03.2026
70667053,Zlokovac,66.0,Prizemlje,2.5,2008.0,Nenamješten,ne,ne,250000.0,26.03.2026
76901185,Mejdan - Tuzla,56.0,2.0,2.0,1986.0,Useljivo,ne,ne,278800.0,29.03.2026
70336099,Brčanska Malta,69.0,1.0,3.0,1994.0,Renoviran,da,da,345100.0,24.06.2026
76917488,Kreka,44.0,10.0,1.5,1989.0,Useljivo,da,ne,209200.0,14.08.2026
76766523,Šićki Brod,66.0,1.0,3.0,,Potrebna renovacija,da,da,1,25.05.2026
78778580,šićki brod,34.0,6.0,1.0,,Dobro stanje,da,ne,76600.0,22.05.2026
71900451,Centar - Tuzla,27.0,,1.0,2022.0,Potrebna renovacija,da,ne,117700.0,24.07.2026
77417163,Mejdan,37.0,,1.5,,Dobro stanje,ne,da,204400.0,01.09.2026
79000002,Gornja Tuzla - Tuzla,68.0,8.0,3.0,,Useljivo,da,ne,221100.0,05.05.2026
78092190,Simin Han,48.0,9.0,3.0,,Namješten,ne,da,186900.0,27.03.2026
75942726,Simin Han,25.0,2.0,1.0,,Nenamješten,ne,ne,59.400,02.04.2026
72768032,Slavinovići,76.0,2.0,2.5,1985.0,Namješten,ne,ne,329600.0,01.05.2026
72059024,Centar,31.0,10.0,1.0,1992.0,Nenamješten,da,da,130700.0,02.08.2026
